x,y,yaw,max_speed
-0.8048265418169124,-0.1266652308407629,0.0029185129501988955,8.0
-0.7047493114604988,-0.12637315331866922,0.002495513205940567,8.0
-0.6046719687449147,-0.12612340846987097,0.00211679871180711,8.0
-0.5045945388382965,-0.12591156437875065,0.0017791263180741903,8.0
-0.4045170424403022,-0.12573351368320124,0.0014795716627407404,8.0
-0.304439496333266,-0.12558544167385488,0.001215319376598616,8.0
-0.20436191385552802,-0.1254638153888258,0.0009582073817503498,8.0
-0.10428430322651301,-0.12536792025422408,0.0007553960657330275,8.0
-0.004206675463611115,-0.12529232199356471,0.0005882228969882599,8.0
0.09587096343435077,-0.12523345402809885,0.00043878243865377566,8.0
0.19594861004268943,-0.12518954171144717,0.00030331403033202406,8.0
0.2960262617445033,-0.12515918675463245,0.00017752079377460575,8.0
0.39610391653041627,-0.12514142088972913,5.64909970399604e-05,8.0
0.49618157277772756,-0.12513576740314028,-6.536546117412522e-05,8.0
0.596259229007287,-0.12514230902530227,-0.0001943667798208602,8.0
0.6963368836013734,-0.1251617607970027,-0.0003375912098314434,8.0
0.7964145344487459,-0.12519554613351283,-0.0005118052765191668,8.0
0.8964921779140748,-0.12524676640397228,-0.0007127677132719023,8.0
0.9965698089754624,-0.12531809852029338,-0.0009515656933538349,8.0
1.0966474199760523,-0.12541332897033736,-0.0012401969338649487,8.0
1.196724999054988,-0.12553744494069347,-0.0015883574990290643,8.0
1.2968025284593487,-0.12569640396868537,-0.0020057054079178176,8.0
1.396879982239975,-0.1258971301281079,-0.0025014522841258317,8.0
1.4969573234379265,-0.12614746934398313,-0.0030838744181399045,8.0
1.5970345008423243,-0.12645609576959554,-0.00375975688426686,8.0
1.6971114455167189,-0.1268323625242335,-0.004533793047149762,8.0
1.79718806743406,-0.12728609232571644,-0.005407970385856872,8.0
1.8972642527143422,-0.12782730664819597,-0.0063809813225690366,8.0
1.9973398620982497,-0.12846589590967278,-0.007447703819581281,8.0
2.097414731379991,-0.12921123767686243,-0.008598799976333492,8.0
2.19748867452374,-0.13007177470608908,-0.00982048080385614,8.0
2.297561490064499,-0.1310545694644774,-0.011094481013227185,8.0
2.3976329711225417,-0.13216485616555662,-0.012398278575211207,8.0
2.4977029189413535,-0.1334056148316348,-0.01370558000618491,8.0
2.59777115932454,-0.1347771939878396,-0.01498707440886812,8.0
2.6978375607647718,-0.1362770088860745,-0.01621143846417606,8.0
2.7979020525242007,-0.13789934036121526,-0.017346552612479055,8.0
2.89796464055261,-0.13963525542643562,-0.018360867755445404,8.0
2.9980254190210904,-0.14147266462873684,-0.019224844274654623,8.0
3.098084575476507,-0.1433965233516414,-0.019912373161208825,8.0
3.1981423882007936,-0.14538917522715009,-0.020402084275471914,8.0
3.298199215235742,-0.14743082632823118,-0.02067845017910551,8.0
3.398255475588213,-0.14950012967497786,-0.020732605690840247,8.0
3.4983116241942294,-0.15157485162629974,-0.020562822477767684,8.0
3.598368123108961,-0.15363258568307556,-0.020174602929842845,8.0
3.698425411941482,-0.15565147566884308,-0.019580385949851127,8.0
3.798483880665449,-0.15761090952051365,-0.018798886412047265,8.0
3.898543847587815,-0.15949214708691456,-0.01785411710936711,8.0
3.9986055445130257,-0.16127885019483137,-0.016774164465543497,8.0
4.09866911013671,-0.16295749034567608,-0.015589805097391038,8.0
4.198734591619501,-0.16451761809321863,-0.014333058178294493,7.96991211697976
4.298801953309241,-0.16595198763539135,-0.013035768055811513,7.906927288927147
4.398871090846074,-0.16725653959741843,-0.011728303191922133,7.843436692699241
4.498941848487118,-0.16843025360016967,-0.010438442507703724,7.779427945060022
4.599014037442841,-0.16947488933302624,-0.009190500520245485,7.714888149051858
4.699087453278662,-0.17039464000914611,-0.00800472049792451,7.649803863654336
4.799161890910376,-0.1711957250214357,-0.00689694251978107,7.58416107109948
4.89923715629808,-0.1718859493186554,-0.005878532868752891,7.517945141618208
4.99931307451314,-0.17247425566999888,-0.004956544237310242,7.4511407953668956
5.099389494332963,-0.17297029293405797,-0.004134063823013696,7.383732061253362
5.199466289859802,-0.17338401915089835,-0.0034106989694697647,7.315702232347952
5.299543359848334,-0.17372535323394153,-0.00278314741888139,7.2470338175270586
5.399620625476634,-0.17400388373662137,-0.0022458008683111583,7.1777084889525025
5.4996980272389795,-0.17422863803025623,-0.001791335416900064,7.107707024939957
5.599775521516675,-0.17440791058194538,-0.0014112495372576323,7.037009247711759
5.699853077232466,-0.17454914507990124,-0.0010963182604731845,6.965593955462865
