x,y,yaw
0.0,0.0,0.0
0.10146526910644431,0.0,0.0
0.20853712092759677,0.0,0.0
0.31272659165423494,0.0,0.0
0.4137667937482103,0.0,0.0
0.5173616896963508,0.0,0.0
0.6223803728858409,0.0,0.0
0.7281925641136134,0.0,0.0
0.83444699487587,0.0,0.0
0.9409478954864774,0.0,0.0
1.0475861591806832,0.0,0.0
1.1543009783516018,0.0,0.0
1.2610584635785027,0.0,0.0
1.367839727539613,0.0,0.0
1.474634243913857,0.0,0.0
1.5814361461502868,0.0,0.0
1.6882421646906458,0.0,0.0
1.7950504773379894,0.0,0.0
1.9018600685417633,0.0,0.0
2.008670372313241,0.0,0.0
2.115481073214419,0.0,0.0
2.2222919954447393,0.0,0.0
2.329103041026674,0.0,0.0
2.435914155355184,0.0,0.0
2.542725307997677,0.0,0.0
2.649536481993398,0.0,0.0
2.756347667889744,0.0,0.0
2.86315886041857,0.0,0.0
2.969970056643825,0.0,0.0
3.0767812549291813,0.0,0.0
3.1835924543626763,0.0,0.0
3.2904036544360546,0.0,0.0
3.397214854866055,0.0,0.0
3.504026055494808,0.0,0.0
3.61083725623433,0.0,0.0
3.7176484570355863,0.0,0.0
3.824459657871248,0.0,0.0
3.931270858726086,0.0,0.0
4.03808205959161,0.0,0.0
4.144893260463091,0.0,0.0
4.25170446133789,0.0,0.0
4.358515662214539,0.0,0.0
4.465326863092219,0.0,0.0
4.573088284078901,0.0,0.0
4.675399118481071,0.0,0.0
4.779946208102504,0.0,0.0
4.885801832938781,0.0,0.0
4.992423141581512,0.0,0.0
5.0994924868416875,0.0,0.0
5.206823998819871,0.0,0.0
5.314308916536237,0.0,0.0
5.421883598966774,0.0,0.0
5.529510806837401,0.0,0.0
5.6371687497455305,0.0,0.0
5.744844677129921,0.0,0.0
5.852531128053979,0.0,0.0
5.960223736782443,0.0,0.0
6.067919948723921,0.0,0.0
6.175618269070143,0.0,0.0
6.283317823140421,0.0,0.0
6.391018099119075,0.0,0.0
6.498718797519337,0.0,0.0
6.606419743097805,0.0,0.0
6.714120833311546,0.0,0.0
6.821822008158001,0.0,0.0
6.92952323252693,0.0,0.0
7.037224485873724,0.0,0.0
7.14492575617679,0.0,0.0
7.252627036401747,0.0,0.0
7.360328322432456,0.0,0.0
7.468029611860377,0.0,0.0
7.5757309032761615,0.0,0.0
7.682679363645306,0.0,0.0
7.790699441937036,0.0,0.0
7.89662362072943,0.0,0.0
8.002381111756964,0.0,0.0
8.104192562171566,0.0,0.0
8.207781383665505,0.0,0.0
8.309371782450205,0.0,0.0
8.413479055470924,0.0,0.0
8.513989509188011,0.0,0.0
8.616522720347922,0.005679524239853746,0.034827683817337314
8.71798534767234,0.02882774014645392,0.1295943772089732
8.81739703645306,0.06199137011727256,0.22544979749608438
8.91354082766078,0.1046877077605152,0.3216874295381761
9.005329105559145,0.156538688148686,0.4181380851838817
9.091797874356303,0.21706145136626492,0.5147074933873622
9.172079953500358,0.2856856345924066,0.6113430943230249
9.245392474355311,0.36176406272458356,0.7080155888268679
9.311032469285623,0.44458069308238485,0.8047086458313965
9.368376831025648,0.5333577381699792,0.9014131630512842
9.41688444507718,0.627262821262223,0.9981240673890409
9.45609920533003,0.7254164954226785,1.0948385314355258
9.485653158386931,0.8269002092370706,1.1915549793946114
9.505269335826146,0.9307646913208473,1.2882725330345635
9.514764017152045,1.0360386790164229,1.3849907028956647
9.514048274034904,1.1417378994077403,1.4817092161906573
9.509532059694193,1.243309270751497,1.551612558583898
9.510791188967515,1.3468697922286375,1.5524913600468118
9.512650649721195,1.4484431724614906,1.55249141147245
9.51455621811683,1.552533004457972,1.5524914114749957
9.516395950717913,1.6530266196786252,1.552491411474996
9.518278081946825,1.7558362189659336,1.552491411474996
9.520183842866341,1.8599365672640864,1.552491411474996
9.522102773133698,1.9647562784598438,1.552491411474996
9.524029042969122,2.069976906467547,1.552491411474996
9.525959403307741,2.175420974258753,1.552491411474996
9.527892043374026,2.2809895699703766,1.552491411474996
9.529825953982831,2.386627567839128,1.552491411474996
9.53176057269301,2.492304245061056,1.552491411474996
9.533695586043702,2.5980024791397747,1.552491411474996
9.53563081933626,2.7037127273303234,1.552491411474996
9.537566175207278,2.8094296712504274,1.552491411474996
9.539501599393967,2.9151503468483195,1.552491411474996
9.541437061654491,3.020873102192564,1.552491411474996
9.543372545134403,3.12659701662533,1.552491411474996
9.545308040440348,3.232321577043698,1.552491411474996
9.547243542337197,3.338046497484092,1.552491411474996
9.549179047907307,3.443771618572704,1.552491411474996
9.551114555524608,3.5494968514869942,1.552491411474996
9.55305006428285,3.655222146724201,1.552491411474996
9.554985573676964,3.760947476695344,1.552491411474996
9.556921083425463,3.8666728260244763,1.552491411474996
9.55885659337147,3.972398186142244,1.552491411474996
9.560792103427554,4.0781235522727535,1.552491411474996
9.562727613544986,4.183848921754301,1.552491411474996
9.564663123696606,4.289574293103452,1.552491411474996
9.566598633867281,4.39529966549346,1.552491411474996
9.568534144048577,4.5010250384635615,1.552491411474996
9.570469654235792,4.606750411756962,1.552491411474996
